round,blue_score,red_score,blue_total,red_total,blue_damage_taken,red_damage_taken,blue_kds,red_kds
1,10,9,10,9,2200.0,2480.0,0,0
2,8,10,18,19,2342.0,2015.0,1,0
3,8,10,26,29,1605.0,2345.0,1,0
4,10,9,36,38,2016.0,2184.0,0,0
5,10,9,46,47,1536.0,2140.0,0,0
6,8,10,54,57,2020.0,2003.0,1,0
7,10,8,64,65,1584.0,2331.0,0,1
8,8,10,72,75,1764.0,1795.0,1,0
9,10,10,82,85,0.0,0.0,0,0
10,10,10,92,95,0.0,0.0,0,0
